name,genre,platform,esrbrating,publisher,year,metascore,userscore,sales
Tomb Raider (2013),Action,Xbox 360,M,SquareEnix,2013,86,85,1.9
Dead Rising,Action,Xbox 360,M,Other,2006,85,77,1.9
Dissidia: Final Fantasy,Fighting,PlayStation Portable,T,SquareEnix,2009,79,87,1.9
Dragon Ball: Xenoverse 2,Action,PlayStation 4,T,BandaiNamco,2016,72,74,1.9
Dragon Quest Monsters: Joker,RPG,Nintendo DS,E,SquareEnix,2007,75,75,1.9
Monster Hunter Tri,RPG,Wii,T,Other,2010,84,85,1.9
Batman: Arkham Origins,Action,Xbox 360,T,Other,2013,74,75,1.9
Until Dawn,Adventure,PlayStation 4,M,Sony,2015,79,83,1.9
Monopoly,Misc,Wii,E,EA,2008,70,77,1.89
Minecraft,Misc,Nintendo Switch,E,Other,2018,,,1.89
Ratchet & Clank Future: A Crack in Time,Action,PlayStation 3,E,Sony,2009,87,89,1.89
Madden NFL 09,Sports,PlayStation 3,E,EA,2008,85,44,1.89
Toy Story Mania!,Misc,Wii,E,Other,2009,49,63,1.89
Game Party 2,Misc,Wii,E,Other,2008,29,53,1.88
Mortal Kombat: Deception,Fighting,PlayStation 2,M,Other,2004,81,86,1.88
Surgeon Simulator,Misc,PC,,Other,2013,71,59,1.88
Medal of Honor: European Assault ,Shooter,PlayStation 2,T,EA,2005,73,78,1.88
The Long Dark,Simulation,PC,T,Other,2017,77,81,1.88
High School Musical: Sing It!,Misc,PlayStation 2,E,Other,2007,56,,1.87
inFAMOUS 2,Action,PlayStation 3,T,Sony,2011,83,86,1.87
Star Wars: The Force Unleashed,Action,Wii,T,Other,2008,71,80,1.86
Broforce,Action,PC,,Other,2014,83,80,1.86
Madden NFL 06,Sports,Xbox,E,EA,2005,86,68,1.86
Shrek 2,Action,PlayStation 2,E,ActivisionBlizzard,2004,71,62,1.86
Sonic Classic Collection,Action,Nintendo DS,E,Sega,2010,70,75,1.86
The Evil Within,Action,PlayStation 4,M,Other,2014,75,75,1.86
SingStar,Misc,PlayStation 2,,Sony,2004,,,1.86
Max Payne 3,Shooter,PlayStation 3,M,RockstarGames,2012,87,78,1.86
NBA Live 2002,Sports,PlayStation 2,E,EA,2001,70,74,1.86
Jak 3,Action,PlayStation 2,T,Sony,2004,84,87,1.85
Batman: Arkham Origins,Action,PC,T,Other,2014,74,75,1.85
Kirby's Epic Yarn,Action,Wii,E,Nintendo,2010,86,85,1.85
Phineas and Ferb,Action,Nintendo DS,E,Other,2009,80,42,1.85
Gran Turismo Concept 2001 Tokyo,Racing,PlayStation 2,,Other,2009,,,1.84
Forza Horizon 4,Racing,Xbox One,E,Microsoft,2018,92,78,1.84
NCAA Football 06,Sports,PlayStation 2,E,EA,2005,87,85,1.84
Rayman Raving Rabbids 2,Misc,Wii,E,Ubisoft,2007,67,82,1.84
Watch Dogs,Action,PlayStation 3,M,Ubisoft,2014,,,1.83
2 Games in 1: Sonic Advance & ChuChu Rocket!,Misc,Game Boy Advance,E,THQ,2005,84,70,1.83
Sonic Mega Collection Plus,Misc,PlayStation 2,E,Sega,2004,73,86,1.83
The Elder Scrolls V: Skyrim Special Edition,RPG,Xbox One,M,Other,2016,82,75,1.83
Risk of Rain,Misc,PC,E,Other,2013,77,81,1.83
Demon's Souls,RPG,PlayStation 3,M,Other,2009,89,89,1.83
Dragon Quest XI,RPG,Nintendo 3DS,,SquareEnix,2017,,,1.82
Donkey Kong Country,Action,Game Boy Advance,E,Nintendo,2003,78,88,1.82
Wolfenstein: The New Order,Shooter,PC,M,Other,2014,81,82,1.82
BioShock Infinite,Shooter,PlayStation 3,M,Other,2013,94,85,1.82
Namco Museum,Misc,PlayStation 2,E,BandaiNamco,2001,72,66,1.82
The Sims: Hot Date,Simulation,PC,T,EA,2001,85,77,1.82
The Orange Box,Shooter,Xbox 360,M,EA,2007,96,88,1.82
DDRMAX2: Dance Dance Revolution,Simulation,PlayStation 2,E,Other,2003,82,82,1.81
NBA 2K11,Sports,PlayStation 3,E,Other,2010,89,76,1.81
Sly 2: Band of Thieves,Action,PlayStation 2,E,Sony,2004,88,89,1.81
Alan Wake,Action,PC,T,Other,2012,83,80,1.8
Guitar Hero: World Tour,Misc,PlayStation 2,T,ActivisionBlizzard,2008,,,1.8
Madden NFL 07,Sports,Xbox 360,E,EA,2006,80,60,1.8
Sonic Advance 2,Action,Game Boy Advance,E,Sega,2003,83,81,1.8
Dragon Quest V: Tenkuu no Hanayome,RPG,PlayStation 2,,Other,2004,,,1.8
Monster Hunter Double Cross,Action,Nintendo 3DS,,Other,2017,,,1.8
Namco Museum DS,Misc,Nintendo DS,E,BandaiNamco,2007,67,62,1.8
Sonic Colors,Action,Wii,E,Sega,2010,78,85,1.8
Kirby's Return to Dreamland,Action,Wii,E,Nintendo,2011,77,87,1.79
New Play Control! Mario Power Tennis,Sports,Wii,E,Nintendo,2009,65,75,1.79
Samurai Warriors,Action,PlayStation 2,T,Other,2004,73,87,1.79
LEGO Star Wars III: The Clone Wars,Action,Wii,E,Other,2011,76,80,1.79
The Crew,Racing,PlayStation 4,T,Ubisoft,2014,61,53,1.79
Midnight Club II,Racing,PlayStation 2,T,RockstarGames,2003,85,86,1.78
The Getaway: Black Monday,Action,PlayStation 2,M,Sony,2005,57,77,1.78
Far Cry 5,Action,Xbox One,M,Ubisoft,2018,82,67,1.78
Mad Max (2013),Action,PC,M,Other,2015,73,78,1.78
50 Cent: Bulletproof,Action,PlayStation 2,M,Other,2005,47,65,1.77
Dynasty Warriors 3,Action,PlayStation 2,T,Other,2001,78,88,1.77
UFC 2009 Undisputed,Fighting,PlayStation 3,T,THQ,2009,84,81,1.76
Dragon's Dogma,RPG,PlayStation 3,M,Other,2012,78,84,1.76
High School Musical: Sing It!,Misc,Wii,E,Other,2007,64,50,1.76
Ori and the Blind Forest: Definitive Edition,Action,PC,E,Other,2016,88,88,1.76
The SpongeBob SquarePants Movie,Action,PlayStation 2,E,THQ,2004,75,86,1.76
The Legend of Zelda: The Minish Cap,Adventure,Game Boy Advance,E,Nintendo,2005,89,88,1.76
Wii Party U,Misc,Wii U,E,Nintendo,2013,65,69,1.76
Def Jam: Fight for NY,Fighting,PlayStation 2,M,EA,2004,83,88,1.76
Tom Clancy's Ghost Recon,Shooter,Xbox,M,Ubisoft,2002,84,57,1.76
State of Emergency,Action,PlayStation 2,M,RockstarGames,2002,71,62,1.76
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,Action,Game Boy Advance,E,THQ,2007,,,1.76
Kinect Star Wars,Action,Xbox 360,T,Microsoft,2012,55,36,1.76
The Urbz: Sims in the City,Simulation,PlayStation 2,T,EA,2004,70,82,1.76
Star Wars: Starfighter,Simulation,PlayStation 2,T,Other,2001,84,80,1.76
Just Cause 2,Action,PlayStation 3,M,SquareEnix,2010,83,80,1.75
Star Wars Battlefront,Shooter,Xbox,T,Other,2004,80,84,1.75
Pro Evolution Soccer,Sports,PlayStation 2,,Other,2001,,,1.75
Metal Gear Solid V: The Phantom Pain,Action,PC,M,Other,2015,91,78,1.75
For Honor,Action,PlayStation 4,M,Ubisoft,2017,78,61,1.75
FIFA Soccer 08,Sports,PlayStation 3,E,EA,2007,81,71,1.75
Crackdown,Shooter,Xbox 360,M,Microsoft,2007,83,79,1.75
Dance Dance Revolution X,Simulation,PlayStation 2,E,Other,2008,55,67,1.75
2 Games in 1: Disney Princess & The Lion King,Misc,Game Boy Advance,,THQ,2004,,,1.75
Mortal Kombat X,Fighting,Xbox One,M,Other,2015,86,75,1.74
Xenosaga Episode I: Der Wille zur Macht,RPG,PlayStation 2,T,BandaiNamco,2003,83,87,1.74
Max Payne 3,Shooter,PC,M,RockstarGames,2012,87,77,1.74
NBA 2K15,Sports,Xbox One,E,Other,2014,82,62,1.74
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,PlayStation 4,T,BandaiNamco,2016,79,81,1.74
The Witcher 3: Wild Hunt,RPG,Xbox One,M,Other,2015,91,92,1.74
NBA 2K19,Sports,Xbox One,E,Other,2018,83,27,1.74
Cuphead,Action,PC,E,Other,2017,88,82,1.74
Shadow of the Tomb Raider,Action,PlayStation 4,M,SquareEnix,2018,75,73,1.74
SSX Tricky,Sports,PlayStation 2,E,EA,2001,92,88,1.73
Mario & Luigi: Partners in Time,RPG,Nintendo DS,E,Nintendo,2005,86,85,1.73
Crash Bandicoot: The Huge Adventure,Action,Game Boy Advance,E,Other,2002,78,78,1.73
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Action,PlayStation 2,M,RockstarGames,2003,95,88,1.72
Dishonored,Shooter,Xbox 360,M,Other,2013,88,79,1.72
Call of Duty: World at War Final Fronts,Shooter,PlayStation 2,T,ActivisionBlizzard,2008,,,1.72
Hot Shots Golf Fore!,Sports,PlayStation 2,E,Sony,2004,80,84,1.72
Titanfall 2,Shooter,PlayStation 4,M,EA,2016,89,84,1.72
Game Party 3,Puzzle,Wii,E,Other,2009,37,,1.72
Madden NFL 2005,Sports,Xbox,E,EA,2004,91,74,1.72
Deal or No Deal,Misc,Nintendo DS,E,Other,2007,20,20,1.72
Injustice 2,Fighting,PlayStation 4,T,Other,2017,87,81,1.72
The Beatles: Rock Band,Misc,Wii,T,Other,2009,89,76,1.71
Imagine: Teacher,Simulation,Nintendo DS,E,Ubisoft,2008,,,1.71
Call of Duty: Modern Warfare 3,Shooter,PC,M,ActivisionBlizzard,2011,78,28,1.71
Ace Combat 5: The Unsung War,Simulation,PlayStation 2,T,BandaiNamco,2004,84,88,1.71
Need for Speed Underground,Racing,Xbox,E,EA,2003,83,86,1.71
Tetris Worlds,Puzzle,Game Boy Advance,E,THQ,2001,65,76,1.71
Call of Duty Black Ops: Declassified,Shooter,PlayStation Vita,M,ActivisionBlizzard,2012,,,1.71
Portal 2,Shooter,PlayStation 3,E,Other,2011,95,85,1.71
Factorio,Strategy,PC,,Other,2016,,,1.71
FIFA Soccer 10,Sports,PlayStation 2,E,EA,2009,,,1.7
Beyond: Two Souls,Adventure,PlayStation 3,M,Sony,2013,70,81,1.7
Hitman: Absolution,Action,Xbox 360,M,SquareEnix,2012,79,72,1.7
Devil May Cry 2,Action,PlayStation 2,M,Other,2003,68,69,1.7
Dragon Quest V: Hand of the Heavenly Bride,RPG,Nintendo DS,E,SquareEnix,2009,84,84,1.7
Dragon Quest VI: Realms of Revelation,RPG,Nintendo DS,T,Nintendo,2011,78,84,1.7
Dynasty Warriors 5,Action,PlayStation 2,T,Other,2005,69,87,1.7
Final Fantasy Tactics Advance,Action,Game Boy Advance,E,Nintendo,2003,87,91,1.7
Kingdom Hearts 358/2 Days,RPG,Nintendo DS,E,SquareEnix,2009,75,84,1.7
Kingdom Hearts: Birth by Sleep,RPG,PlayStation Portable,E,SquareEnix,2010,82,87,1.7
Super Princess Peach,Action,Nintendo DS,E,Nintendo,2006,75,80,1.7
NCAA Football 07,Sports,PlayStation 2,E,EA,2006,87,87,1.7
Game Dev Tycoon,Simulation,PC,,Other,2013,68,80,1.7
Ben 10: Protector of Earth,Action,Nintendo DS,E,Other,2007,,,1.7
Sid Meier's Civilization V,Strategy,PC,E,Other,2010,90,80,1.7
Cabela's Big Game Hunter 2010,Sports,Wii,T,ActivisionBlizzard,2009,,,1.7
SOCOM 3: U.S. Navy SEALs,Shooter,PlayStation 2,M,Sony,2005,82,88,1.69
Saints Row IV,Action,Xbox 360,M,Other,2013,81,66,1.69
Cooking Mama 3: Shop & Chop,Simulation,Nintendo DS,E,Other,2009,65,60,1.69
Tomodachi Collection: New Life,Simulation,Nintendo 3DS,E,Nintendo,2013,71,77,1.69
Need for Speed: Undercover,Racing,Xbox 360,T,EA,2008,64,60,1.69
Harry Potter and the Sorcerer's Stone,Action,Game Boy Advance,E,EA,2001,64,79,1.69
Dragon Ball Z: The Legacy of Goku,RPG,Game Boy Advance,E,Other,2002,53,67,1.69
The Sims 3: Late Night Expansion Pack,Simulation,PC,T,EA,2010,74,54,1.69
LEGO Batman 2: DC Super Heroes,Action,Xbox 360,E,Other,2012,79,72,1.69
Far Cry 4,Shooter,Xbox One,M,Ubisoft,2014,82,76,1.68
Saints Row 2,Action,PlayStation 3,M,THQ,2008,82,80,1.68
World Championship Poker: Featuring Howard Lederer - All In,Misc,PlayStation 2,T,Other,2006,53,,1.68
Star Wars Battlefront: Renegade Squadron,Shooter,PlayStation Portable,T,Other,2007,73,78,1.68
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,Misc,Nintendo DS,,Nintendo,2006,,,1.68
Tekken 6,Fighting,Xbox 360,T,BandaiNamco,2009,80,71,1.68
Tekken 7,Fighting,PlayStation 4,T,BandaiNamco,2017,82,68,1.68
Virtua Fighter 4,Fighting,PlayStation 2,T,Sega,2002,94,82,1.68
Planetary Annihilation,Strategy,PC,E,Other,2014,62,57,1.68
We Ski,Sports,Wii,E,BandaiNamco,2008,67,85,1.68
The Sims: Superstar,Simulation,PC,T,EA,2003,79,75,1.68
SSX 3,Sports,PlayStation 2,E,EA,2003,93,88,1.67
Dragon Age: Origins,RPG,PlayStation 3,M,EA,2009,87,80,1.67
Star Wars Battlefront II,Shooter,Xbox,T,Other,2005,83,88,1.67
"Monsters, Inc.",Adventure,Game Boy Advance,E,THQ,2001,,,1.67
PGR: Project Gotham Racing 2,Racing,Xbox,E,Microsoft,2003,90,87,1.67
Destiny,Shooter,PlayStation 3,T,ActivisionBlizzard,2014,,,1.67
Fight Night Round 3,Fighting,PlayStation 3,T,EA,2006,83,79,1.67
Spy Hunter,Racing,PlayStation 2,T,Other,2001,84,81,1.67
NCAA Football 2004,Sports,PlayStation 2,E,EA,2003,94,82,1.67
SpongeBob SquarePants: Battle for Bikini Bottom,Action,PlayStation 2,E,THQ,2003,71,88,1.67
Big Beach Sports,Sports,Wii,E,THQ,2008,44,80,1.66
Disney Infinity,Misc,Wii,,Other,2013,,,1.66
Shaun White Snowboarding: Road Trip,Sports,Wii,E,Ubisoft,2008,78,87,1.66
SSX,Sports,PlayStation 2,E,EA,2000,93,83,1.66
NBA Ballers,Sports,PlayStation 2,E,Other,2004,83,88,1.66
NBA Live 2003,Sports,PlayStation 2,E,EA,2002,83,84,1.66
NBA 2K15,Sports,Xbox 360,E,Other,2014,,,1.66
Star Wars The Clone Wars: Lightsaber Duels,Action,Wii,T,Other,2008,56,66,1.65
Dragon Ball Z: Budokai Tenkaichi 2,Fighting,PlayStation 2,T,Other,2006,73,86,1.65
Golden Sun,RPG,Game Boy Advance,E,Nintendo,2001,91,90,1.65
Heavenly Sword,Action,PlayStation 3,T,Sony,2007,79,82,1.65
MySims,Simulation,Wii,E,EA,2007,68,71,1.65
Need for Speed Carbon,Racing,Xbox 360,E,EA,2006,77,65,1.65
Plants vs. Zombies,Strategy,PC,E,Other,2009,87,89,1.65
Watch Dogs,Action,Xbox One,M,Ubisoft,2014,78,59,1.64
Persona 5,RPG,PlayStation 4,M,Other,2017,93,87,1.64
Army of Two,Shooter,Xbox 360,M,EA,2008,72,75,1.64
Wii Play: Motion,Misc,Wii,E,Nintendo,2011,60,62,1.64
Tiger Woods PGA Tour 2003,Sports,PlayStation 2,E,EA,2002,88,84,1.64
NBA Live 06 ,Sports,PlayStation 2,E,EA,2005,,,1.64
Prince of Persia: Warrior Within,Adventure,PlayStation 2,M,Ubisoft,2004,83,85,1.64
ESPN NFL 2K5,Sports,Xbox,E,Sega,2004,92,83,1.63
Max Payne 3,Shooter,Xbox 360,M,RockstarGames,2012,86,79,1.63
Tiger Woods PGA Tour 2004,Sports,PlayStation 2,E,EA,2003,89,86,1.63
NCAA Football 2005,Sports,PlayStation 2,E,EA,2004,88,88,1.62
Kinectimals,Simulation,Xbox 360,E,Microsoft,2010,74,34,1.62
Uncharted: Golden Abyss,Action,PlayStation Vita,T,Sony,2012,80,75,1.62
Tony Hawk's American Wasteland ,Sports,PlayStation 2,T,ActivisionBlizzard,2005,77,87,1.62
Call of Duty: Black Ops,Shooter,PC,M,ActivisionBlizzard,2010,81,54,1.62
The Order: 1886,Shooter,PlayStation 4,M,Sony,2015,63,67,1.62
Rock Band,Misc,PlayStation 3,T,Other,2007,92,81,1.62
NFL Street 2,Sports,PlayStation 2,E,EA,2004,77,88,1.61
Deca Sports,Sports,Wii,E,Other,2008,50,54,1.61
The Legend of Zelda: Breath of the Wild,Action,Wii U,E,Nintendo,2017,96,82,1.61
Buzz! The Music Quiz,Misc,PlayStation 2,,Sony,2005,,,1.61
SpongeBob's Atlantis SquarePantis,Adventure,Nintendo DS,E,THQ,2007,64,60,1.61
Tom Clancy's Ghost Recon Wildlands,Shooter,Xbox One,M,Ubisoft,2017,76,66,1.61
Wolfenstein: The New Order,Shooter,PlayStation 4,M,Other,2014,79,81,1.61
Rage,Shooter,Xbox 360,M,Other,2011,81,67,1.6
Gears of War: Judgment,Shooter,Xbox 360,M,Microsoft,2013,79,56,1.6
Madden NFL 15,Sports,Xbox One,E,EA,2014,80,62,1.6
Midnight Club 3: DUB Edition,Racing,PlayStation 2,E,RockstarGames,2005,84,88,1.6
Dragon Quest IV: Chapters of the Chosen,RPG,Nintendo DS,E,SquareEnix,2008,80,81,1.6
Dragon Quest VII: Fragments of the Forgotten Past,RPG,Nintendo 3DS,E,Nintendo,2016,81,84,1.6
Kingdom Hearts HD I.5 ReMIX,Misc,PlayStation 3,,SquareEnix,2013,,,1.6
Kingdom Hearts: Chain of Memories,RPG,Game Boy Advance,E,SquareEnix,2004,76,88,1.6
Lost Planet: Extreme Condition,Shooter,Xbox 360,T,Other,2007,79,71,1.6
Metroid Fusion,Adventure,Game Boy Advance,E,Nintendo,2002,92,90,1.6
Pokemon Super Mystery Dungeon,RPG,Nintendo 3DS,E,Nintendo,2015,69,83,1.6
Sonic Unleashed,Action,Wii,E,Sega,2008,66,71,1.6
Just Cause 2,Action,Xbox 360,M,SquareEnix,2010,81,80,1.6
L.A. Noire: The Complete Edition,Adventure,PC,M,RockstarGames,2011,83,79,1.6
ESPN NBA 2K5,Sports,PlayStation 2,E,Sega,2004,83,75,1.59
Sonic Generations,Action,PlayStation 3,E,Sega,2011,76,83,1.59
LEGO Harry Potter: Years 1-4,Adventure,Xbox 360,E,Other,2010,79,80,1.59
Far Cry 2,Shooter,Xbox 360,M,Ubisoft,2008,85,67,1.59
Diddy Kong Racing DS,Racing,Nintendo DS,E,Nintendo,2007,63,75,1.59
Pro Evolution Soccer 2008,Sports,PlayStation 3,E,Other,2008,74,62,1.59
FIFA 16,Sports,Xbox 360,E,EA,2015,,,1.59
Dance Dance Revolution: Hottest Party 2,Simulation,Wii,E,Other,2008,69,68,1.58
Final Fantasy XIV Online,RPG,PC,T,SquareEnix,2010,49,40,1.58
Devil May Cry 4,Action,PlayStation 3,M,Other,2008,84,84,1.58
Spyro 2: Season of Flame,Action,Game Boy Advance,E,Other,2002,76,71,1.58
Batman: Arkham Knight,Action,Xbox One,M,Other,2015,85,69,1.58
LEGO Pirates of the Caribbean: The Video Game,Action,Wii,E,Other,2011,73,73,1.57
Pro Evolution Soccer 2010,Sports,PlayStation 2,E,Other,2009,,,1.57
NCAA Football 2002,Sports,PlayStation 2,E,EA,2001,90,85,1.57
Guitar Hero: On Tour Decades,Misc,Nintendo DS,E,ActivisionBlizzard,2008,72,78,1.57
Moshi Monsters: Moshling Zoo,Misc,Nintendo DS,E,ActivisionBlizzard,2011,,,1.57
Conflict: Desert Storm,Shooter,PlayStation 2,T,Other,2002,55,84,1.57
High School Musical 3: Senior Year,Misc,Nintendo DS,E,Other,2008,,,1.57
Carnival Games: Mini Golf,Sports,Wii,E,Other,2008,38,57,1.56
Smuggler's Run,Racing,PlayStation 2,T,RockstarGames,2000,79,67,1.56
Fight Night Round 3,Fighting,PlayStation 2,T,EA,2006,84,82,1.56
AudioSurf,Misc,PC,,Other,2008,85,87,1.56
Mark of the Ninja,Action,PC,M,Microsoft,2012,91,80,1.56
Hannah Montana: Music Jam,Action,Nintendo DS,E,Other,2007,61,50,1.56
BioShock 2,Shooter,PC,M,Other,2010,88,80,1.56
MySims Kingdom,Simulation,Nintendo DS,E,EA,2008,58,,1.56
Mafia II,Action,Xbox 360,M,Other,2010,74,79,1.56
Stuntman,Racing,PlayStation 2,T,Other,2002,71,54,1.55
Tom Clancy's Rainbow Six 3,Shooter,Xbox,M,Ubisoft,2003,86,85,1.55
BioShock 2,Shooter,PlayStation 3,M,Other,2010,88,82,1.55
Dishonored,Shooter,PlayStation 3,M,Other,2013,89,79,1.55
Guitar Hero 5,Misc,Wii,T,ActivisionBlizzard,2009,89,70,1.55
Practise English!,Misc,Nintendo DS,,Nintendo,2007,,,1.55
Yoshi's Woolly World,Action,Wii U,E,Nintendo,2015,78,85,1.55
Battlefield V,Shooter,Xbox One,M,EA,2018,78,27,1.55
Need for Speed: Most Wanted (2012),Racing,Xbox 360,E,EA,2012,83,85,1.54
Go Vacation,Misc,Wii,E,BandaiNamco,2011,64,81,1.54
NBA 2K14,Sports,PlayStation 4,E,Other,2013,85,65,1.54
Active Life: Outdoor Challenge,Sports,Wii,E,BandaiNamco,2008,69,81,1.54
Dark Cloud,RPG,PlayStation 2,T,Sony,2001,80,79,1.54
Sonic the Hedgehog (2006),Action,Xbox 360,E,Sega,2006,77,87,1.54
MVP Baseball 2005,Sports,PlayStation 2,E,EA,2005,87,87,1.54
Pokemon Ranger: Guardian Signs,RPG,Nintendo DS,E,Nintendo,2010,68,81,1.53
SoulCalibur IV,Fighting,Xbox 360,T,BandaiNamco,2008,85,79,1.53
Xenoblade Chronicles 2,RPG,Nintendo Switch,T,Nintendo,2017,83,87,1.53
Disney Infinity,Misc,Xbox 360,E,Other,2013,74,66,1.53
ShellShock Live,Strategy,PC,,Other,2013,,,1.53
Star Wars Knights of the Old Republic II: The Sith Lords,RPG,PC,T,Other,2005,85,84,1.53
The Simpsons Skateboarding,Sports,PlayStation 2,T,EA,2002,38,42,1.52
Disney Fairies: Tinker Bell,Adventure,Nintendo DS,E,Other,2008,,,1.52
Fight Night Round 4,Fighting,PlayStation 3,T,EA,2009,88,76,1.52
Pro Evolution Soccer 2013,Sports,PlayStation 3,E,Other,2012,82,68,1.52
Mario Tennis Open,Sports,Nintendo 3DS,E,Nintendo,2012,69,69,1.52
Mario vs. Donkey Kong 2: March of the Minis,Puzzle,Nintendo DS,E,Nintendo,2006,76,79,1.52
Onimusha 3: Demon Siege,Action,PlayStation 2,M,Other,2004,85,87,1.52
Forza Motorsport 7,Racing,Xbox One,E,Microsoft,2017,86,59,1.52
Sonic Rivals 2,Racing,PlayStation Portable,E,Sega,2007,60,80,1.52
Dead Space 2,Shooter,Xbox 360,M,EA,2011,90,86,1.52
MySims Kingdom,Simulation,Wii,E,EA,2008,76,82,1.52
Pac-Man World 2,Action,PlayStation 2,E,BandaiNamco,2002,73,78,1.51
How to Survive,Action,PC,M,Other,2013,60,70,1.51
Call of Duty: Black Ops II,Shooter,PC,M,ActivisionBlizzard,2012,74,44,1.51
Call of Duty: Modern Warfare: Reflex Edition,Shooter,Wii,M,ActivisionBlizzard,2009,76,82,1.51
Tomb Raider: Definitive Edition,Action,PlayStation 4,M,SquareEnix,2014,85,81,1.51
Call of Duty 3,Shooter,PlayStation 3,T,ActivisionBlizzard,2006,80,69,1.51
Star Wars: The Force Unleashed II,Action,PlayStation 3,T,Other,2010,63,67,1.51
Kirby: Planet Robobot,Action,Nintendo 3DS,E,Nintendo,2016,81,85,1.51
The Simpsons Game,Action,Nintendo DS,T,EA,2007,69,72,1.51
The Simpsons Game,Action,PlayStation 2,T,EA,2007,68,80,1.51
Madden NFL 19,Sports,Xbox One,E,EA,2018,81,30,1.51
Tokyo Xtreme Racer Zero,Racing,PlayStation 2,E,Other,2001,76,88,1.5
Metal Gear Rising: Revengeance,Action,PlayStation 3,M,Other,2013,80,80,1.5
Red Faction II,Shooter,PlayStation 2,M,THQ,2002,84,79,1.5
Rayman Legends,Action,PlayStation 4,E,Ubisoft,2014,90,84,1.5
Madden NFL 2001,Sports,PlayStation 2,E,EA,2000,91,77,1.5
ARK: Survival Evolved,Action,Xbox One,T,Other,2017,69,49,1.5
Counter-Strike,Shooter,Xbox,M,Microsoft,2003,74,76,1.5
Crysis: Warhead,Shooter,PC,M,EA,2008,84,79,1.5
Dirge of Cerberus: Final Fantasy VII,Shooter,PlayStation 2,T,SquareEnix,2006,57,84,1.5
NieR: Automata,RPG,PlayStation 4,M,SquareEnix,2017,88,89,1.5
Octopath Traveler,RPG,Nintendo Switch,T,Nintendo,2018,83,86,1.5
Puzzle & Dragons,Puzzle,Nintendo 3DS,,Other,2013,,,1.5
Sonic Colors,Action,Nintendo DS,E,Sega,2010,79,80,1.5
SoulCalibur II,Fighting,PlayStation 2,T,BandaiNamco,2003,92,88,1.5
Stronghold,Strategy,PC,T,Other,2001,81,89,1.5
Rock Band 2,Misc,PlayStation 3,T,Other,2008,91,79,1.5
Football Manager 2012,Sports,PC,E,Sega,2011,84,79,1.5
Mass Effect: Andromeda,RPG,PlayStation 4,M,EA,2017,71,49,1.49
Mafia II,Action,PlayStation 3,M,Other,2010,75,78,1.49
Dead Rising 2,Action,Xbox 360,M,Other,2010,79,70,1.49
Medal of Honor: Frontline,Shooter,Xbox,T,EA,2002,81,71,1.49
Metro: Last Light,Shooter,PC,M,Other,2013,82,85,1.49
Madden NFL 15,Sports,PlayStation 3,E,EA,2014,,,1.49
Madden NFL 09,Sports,PlayStation 2,E,EA,2008,67,70,1.49
Resistance 3,Shooter,PlayStation 3,M,Sony,2011,83,78,1.49
Pokemon Mystery Dungeon: Explorers of Sky,RPG,Nintendo DS,E,Nintendo,2009,54,88,1.49
Buzz! The BIG Quiz,Misc,PlayStation 2,,Sony,2006,,,1.49
State of Decay,Action,PC,M,Microsoft,2013,79,69,1.49
Tom Clancy's Ghost Recon: Future Soldier,Shooter,Xbox 360,T,Ubisoft,2012,79,73,1.48
LEGO Star Wars III: The Clone Wars,Action,Xbox 360,E,Other,2011,75,78,1.48
Bratz: Forever Diamondz,Adventure,Nintendo DS,E,THQ,2006,,,1.48
Drawn To Life: SpongeBob SquarePants Edition,Adventure,Nintendo DS,E,THQ,2008,68,55,1.48
Sonic's Ultimate Genesis Collection,Misc,Xbox 360,E,Sega,2009,79,85,1.48
LEGO Battles: Ninjago,Strategy,Nintendo DS,E,Other,2011,59,74,1.48
Professor Layton and the Mask of Miracle,Puzzle,Nintendo 3DS,E,Nintendo,2012,82,80,1.48
SoulCalibur IV,Fighting,PlayStation 3,T,BandaiNamco,2008,85,78,1.48
Tamagotchi Connection: Corner Shop,Simulation,Nintendo DS,E,BandaiNamco,2006,59,77,1.48
Rogue Legacy,Misc,PC,,Other,2013,85,79,1.48
Disney Sing It: Pop Hits,Misc,Wii,E,Other,2009,,,1.48
007: Quantum of Solace,Shooter,Xbox 360,T,ActivisionBlizzard,2008,65,71,1.48
Major League Baseball 2K5,Sports,PlayStation 2,E,Other,2005,82,74,1.48
Fight Night 2004,Fighting,PlayStation 2,T,EA,2004,85,87,1.48
Assassin's Creed III: Liberation,Adventure,PlayStation Vita,M,Ubisoft,2012,70,71,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,Xbox,T,Ubisoft,2004,93,85,1.48
Imagine: Master Chef,Simulation,Nintendo DS,E,Ubisoft,2007,,,1.47
Super Scribblenauts,Puzzle,Nintendo DS,E,Other,2010,81,83,1.47
Disney Princess,Action,Game Boy Advance,E,THQ,2003,,,1.47
Kirby & the Amazing Mirror,Action,Game Boy Advance,E,Nintendo,2004,80,88,1.47
Minecraft,Misc,Wii U,E,Other,2016,77,73,1.47
Dying Light,Action,Xbox One,M,Other,2016,74,78,1.47
